900 40821
1 900
1 2 51
1 7 67
1 8 3
1 13 45
1 15 32
1 17 62
1 23 31
1 31 33
1 40 25
1 46 46
1 54 21
1 59 12
1 60 48
1 65 24
1 87 99
1 95 63
1 105 100
1 125 34
1 126 2
1 136 68
1 139 65
1 152 84
1 177 76
1 186 71
1 189 72
1 191 62
1 216 54
1 221 82
1 227 25
1 231 88
1 275 91
1 284 26
1 288 18
1 306 58
1 307 38
1 308 26
1 313 29
1 331 9
1 332 6
1 333 56
1 368 5
1 388 94
1 395 4
1 419 46
1 422 57
1 430 41
1 435 94
1 474 26
1 482 14
1 487 4
1 502 82
1 515 93
1 521 94
1 526 37
1 542 100
1 547 60
1 555 80
1 571 93
1 576 15
1 587 60
1 589 2
1 605 23
1 645 20
1 647 16
1 660 29
1 676 13
1 696 5
1 698 68
1 699 16
1 703 5
1 717 17
1 757 64
1 763 52
1 769 94
1 770 77
1 772 61
1 793 34
1 798 92
1 804 87
1 809 20
1 819 60
1 823 49
1 827 44
1 835 21
1 839 1
1 851 38
1 878 100
1 889 13
1 891 59
1 899 94
2 17 64
2 40 83
2 54 36
2 56 93
2 64 99
2 94 11
2 111 25
2 114 11
2 118 98
2 122 76
2 133 64
2 141 57
2 144 64
2 150 84
2 159 32
2 161 96
2 184 90
2 193 66
2 198 41
2 199 38
2 203 94
2 209 55
2 212 63
2 224 78
2 250 86
2 256 20
2 261 37
2 271 23
2 297 67
2 299 79
2 311 84
2 333 27
2 334 39
2 336 71
2 342 20
2 348 60
2 350 88
2 352 93
2 374 89
2 397 59
2 422 82
2 429 49
2 437 10
2 466 89
2 469 98
2 491 22
2 494 100
2 504 11
2 506 28
2 508 60
2 520 76
2 555 17
2 580 50
2 598 50
2 612 62
2 617 33
2 623 6
2 649 15
2 672 82
2 676 8
2 693 47
2 697 49
2 698 76
2 699 53
2 700 42
2 707 38
2 725 80
2 740 9
2 750 30
2 760 82
2 764 13
2 769 99
2 809 25
2 825 73
2 841 45
2 859 9
2 860 25
2 867 19
2 872 77
2 874 51
2 875 51
2 890 32
2 897 95
3 17 54
3 26 13
3 39 27
3 48 41
3 52 87
3 73 42
3 79 58
3 95 48
3 98 21
3 101 2
3 124 88
3 136 33
3 143 69
3 156 83
3 166 82
3 169 71
3 181 37
3 184 59
3 189 10
3 196 73
3 212 38
3 264 30
3 285 28
3 312 61
3 314 73
3 322 67
3 331 61
3 349 37
3 368 92
3 381 14
3 387 98
3 390 81
3 401 54
3 405 57
3 416 55
3 423 29
3 428 81
3 451 32
3 469 20
3 475 4
3 498 47
3 502 53
3 520 100
3 521 69
3 551 33
3 554 4
3 572 63
3 575 41
3 595 90
3 613 93
3 622 7
3 634 18
3 659 48
3 662 75
3 678 83
3 700 42
3 701 18
3 719 37
3 722 40
3 724 63
3 730 46
3 741 83
3 754 93
3 760 14
3 765 3
3 791 11
3 799 37
3 808 65
3 832 85
3 837 85
3 847 34
3 848 49
3 852 44
3 854 36
3 881 64
3 884 36
3 899 7
4 20 21
4 38 98
4 43 99
4 48 97
4 52 5
4 58 88
4 61 43
4 73 1
4 75 34
4 85 30
4 86 1
4 87 98
4 90 66
4 103 88
4 122 16
4 140 21
4 166 88
4 168 14
4 172 34
4 176 7
4 177 55
4 181 22
4 187 33
4 212 73
4 215 12
4 221 87
4 223 75
4 224 57
4 234 42
4 273 32
4 289 68
4 300 45
4 301 84
4 306 26
4 308 84
4 331 71
4 349 19
4 350 67
4 371 57
4 374 33
4 378 20
4 381 20
4 388 77
4 390 14
4 402 4
4 405 43
4 431 67
4 436 25
4 442 98
4 444 44
4 449 78
4 450 16
4 461 93
4 475 29
4 483 66
4 505 80
4 506 99
4 512 92
4 514 39
4 515 50
4 574 49
4 585 98
4 598 11
4 613 9
4 618 80
4 624 12
4 635 28
4 643 3
4 644 78
4 653 36
4 662 10
4 675 49
4 679 21
4 687 94
4 693 42
4 702 87
4 712 21
4 716 88
4 728 100
4 731 30
4 735 53
4 750 60
4 753 72
4 754 100
4 758 76
4 762 55
4 763 67
4 780 73
4 785 60
4 788 53
4 795 56
4 796 96
4 805 51
4 816 63
4 817 21
4 825 18
4 865 64
4 870 44
4 898 60
5 30 36
5 33 16
5 34 29
5 35 1
5 41 15
5 51 53
5 55 83
5 70 25
5 110 15
5 117 43
5 134 77
5 138 79
5 153 77
5 172 61
5 180 29
5 219 47
5 222 41
5 231 50
5 245 99
5 258 92
5 304 22
5 307 20
5 322 61
5 341 71
5 357 21
5 359 69
5 361 34
5 366 64
5 374 96
5 378 65
5 396 33
5 404 67
5 406 96
5 407 83
5 420 47
5 422 3
5 433 100
5 441 40
5 448 76
5 462 17
5 464 16
5 469 75
5 476 71
5 483 9
5 486 68
5 499 65
5 508 8
5 520 84
5 535 73
5 536 37
5 538 6
5 571 70
5 573 94
5 587 35
5 595 68
5 596 22
5 616 99
5 622 71
5 628 61
5 636 54
5 639 62
5 655 79
5 664 84
5 667 33
5 668 22
5 681 48
5 689 73
5 700 2
5 724 69
5 747 9
5 753 52
5 765 38
5 770 20
5 772 52
5 778 5
5 833 9
5 847 40
5 874 15
5 886 13
6 14 1
6 41 43
6 49 22
6 55 92
6 71 76
6 75 53
6 81 69
6 91 84
6 113 11
6 149 52
6 160 13
6 175 32
6 195 82
6 200 70
6 201 38
6 214 20
6 221 70
6 222 70
6 246 3
6 280 92
6 282 97
6 302 20
6 317 57
6 319 48
6 325 5
6 337 9
6 369 89
6 372 55
6 377 43
6 381 98
6 384 61
6 389 47
6 403 5
6 405 47
6 409 37
6 413 80
6 419 30
6 421 31
6 426 82
6 439 70
6 475 33
6 477 86
6 497 70
6 507 44
6 515 17
6 520 71
6 525 77
6 528 62
6 533 19
6 549 12
6 550 92
6 553 35
6 558 96
6 559 19
6 563 48
6 576 60
6 598 25
6 615 45
6 617 53
6 631 39
6 652 84
6 658 8
6 714 56
6 716 7
6 719 1
6 743 1
6 776 1
6 790 34
6 801 64
6 812 60
6 833 45
6 848 21
6 853 13
6 855 56
6 856 7
6 861 1
6 863 37
6 868 17
6 869 38
6 873 82
6 876 47
6 879 68
6 887 78
6 896 32
7 16 20
7 18 60
7 34 18
7 35 3
7 38 70
7 57 42
7 58 69
7 62 15
7 72 51
7 75 72
7 91 60
7 103 80
7 124 56
7 128 97
7 150 56
7 155 96
7 172 55
7 185 100
7 186 59
7 205 78
7 215 34
7 216 30
7 218 73
7 220 46
7 239 37
7 240 24
7 243 27
7 250 79
